,PROCESS_ID,DATET_STOP
3364,CP4,2022-01-30 10
3365,CP4,2022-01-30 12
3366,CP4,2022-01-30 16
3367,CP4,2022-01-30 18
3368,CP4,2022-01-30 21
3369,CP4,2022-01-30 23
3370,CP4,2022-01-31 01
3371,CP4,2022-01-31 03
3372,CP4,2022-01-31 05
3373,CP4,2022-01-31 07
3374,CP4,2022-01-31 10
3375,CP4,2022-01-31 12
3376,CP4,2022-01-31 14
3377,CP4,2022-01-31 16
3378,CP4,2022-01-31 18
3379,CP4,2022-01-31 20
3380,CP4,2022-01-31 22
3381,CP4,2022-02-01 00
3382,CP4,2022-02-01 03
3383,CP4,2022-02-01 05
3384,CP4,2022-02-01 07
3385,CP4,2022-02-01 09
3386,CP4,2022-02-01 11
3387,CP4,2022-02-01 13
3388,CP4,2022-02-01 15
3389,CP4,2022-02-01 17
3390,CP4,2022-02-01 20
3391,CP4,2022-02-01 22
3392,CP4,2022-02-02 00
3393,CP4,2022-02-02 02
3394,CP4,2022-02-02 04
3395,CP4,2022-02-02 06
3396,CP4,2022-02-02 09
3397,CP4,2022-02-02 11
3398,CP4,2022-02-02 13
3399,CP4,2022-02-02 15
3400,CP4,2022-02-02 17
3401,CP4,2022-02-02 20
3402,CP4,2022-02-02 22
3403,CP4,2022-02-03 00
3404,CP4,2022-02-03 02
3405,CP4,2022-02-03 04
3406,CP4,2022-02-03 06
3407,CP4,2022-02-03 08
3408,CP4,2022-02-03 11
3409,CP4,2022-02-03 13
3410,CP4,2022-02-03 15
3411,CP4,2022-02-03 17
3412,CP4,2022-02-03 19
3413,CP4,2022-02-03 21
3414,CP4,2022-02-03 23
3415,CP4,2022-02-04 02
3416,CP4,2022-02-04 04
3417,CP4,2022-02-04 06
3418,CP4,2022-02-04 08
3419,CP4,2022-02-04 10
3420,CP4,2022-02-04 12
3421,CP4,2022-02-04 15
3422,CP4,2022-02-04 17
3423,CP4,2022-02-04 19
3424,CP4,2022-02-04 21
3425,CP4,2022-02-04 23
3426,CP4,2022-02-05 01
3427,CP4,2022-02-05 03
3428,CP4,2022-02-05 05
3429,CP4,2022-02-05 08
3430,CP4,2022-02-05 10
3431,CP4,2022-02-05 12
3432,CP4,2022-02-05 14
3433,CP4,2022-02-05 16
3434,CP4,2022-02-05 18
3435,CP4,2022-02-05 20
3436,CP4,2022-02-05 22
3437,CP4,2022-02-06 00
3438,CP4,2022-02-06 03
3439,CP4,2022-02-06 05
3440,CP4,2022-02-06 07
3441,CP4,2022-02-06 09
3442,CP4,2022-02-06 11
3443,CP1,2022-02-06 16
3444,CP1,2022-02-06 17
3445,CP1,2022-02-06 18
3446,CP1,2022-02-06 19
3447,CP1,2022-02-06 20
3448,CP1,2022-02-06 21
3449,CP1,2022-02-06 23
3450,CP1,2022-02-07 00
3451,CP1,2022-02-07 01
3452,CP1,2022-02-07 02
3453,CP1,2022-02-07 03
3454,CP1,2022-02-07 04
3455,CP1,2022-02-07 05
3456,CP1,2022-02-07 06
3457,CP1,2022-02-07 07
3458,CP1,2022-02-07 08
3459,CP1,2022-02-07 09
3460,CP1,2022-02-07 10
3461,CP1,2022-02-07 11
3462,CP1,2022-02-07 12
3463,CP1,2022-02-07 13
3464,CP1,2022-02-07 14
3465,CP1,2022-02-07 15
3466,CP1,2022-02-07 16
3467,CP1,2022-02-07 17
3468,CP1,2022-02-07 19
3469,CP1,2022-02-07 20
3470,CP1,2022-02-07 21
3471,CP1,2022-02-07 22
3472,CP1,2022-02-07 23
3473,CP1,2022-02-08 00
3474,CP1,2022-02-08 01
3475,CP1,2022-02-08 02
3476,CP1,2022-02-08 03
3477,CP1,2022-02-08 04
3478,CP1,2022-02-08 05
3479,CP1,2022-02-08 06
3480,CP1,2022-02-08 07
3481,CP1,2022-02-08 08
3482,CP1,2022-02-08 09
3483,CP1,2022-02-08 10
3484,CP1,2022-02-08 11
3485,CP1,2022-02-08 12
3486,CP1,2022-02-08 13
3487,CP1,2022-02-08 14
3488,CP1,2022-02-08 15
3489,CP1,2022-02-08 16
3490,CP1,2022-02-08 17
3491,CP1,2022-02-08 18
3492,CP1,2022-02-08 19
3493,CP1,2022-02-08 21
3494,CP1,2022-02-08 22
3495,CP1,2022-02-08 23
3496,CP1,2022-02-09 00
3497,CP1,2022-02-09 01
3498,CP1,2022-02-09 02
3499,CP1,2022-02-09 03
3500,CP1,2022-02-09 04
2532,CP4,2022-02-10 08
2533,CP4,2022-02-10 11
2573,CP4,2022-02-15 17
2574,CP4,2022-02-15 21
2575,CP4,2022-02-15 23
2576,CP4,2022-02-16 04
2577,CP4,2022-02-16 07
2578,CP4,2022-02-16 09
2579,CP4,2022-02-16 11
2580,CP4,2022-02-16 13
2581,CP4,2022-02-16 15
2582,CP4,2022-02-16 18
2583,CP4,2022-02-16 20
2584,CP4,2022-02-16 22
2585,CP4,2022-02-17 00
2586,CP4,2022-02-17 02
2587,CP4,2022-02-17 05
2588,CP4,2022-02-17 07
2589,CP4,2022-02-17 09
2590,CP4,2022-02-17 11
2591,CP4,2022-02-17 13
2592,CP4,2022-02-17 16
2593,CP4,2022-02-17 18
2594,CP4,2022-02-17 20
2595,CP4,2022-02-17 22
2596,CP4,2022-02-18 00
2597,CP4,2022-02-18 03
2598,CP4,2022-02-18 05
2599,CP4,2022-02-18 20
2600,CP4,2022-02-18 22
2601,CP4,2022-02-19 01
2602,CP4,2022-02-19 03
2603,CP4,2022-02-19 05
2604,CP4,2022-02-19 08
2605,CP4,2022-02-19 11
2606,CP4,2022-02-19 14
2607,CP4,2022-02-19 16
2608,CP4,2022-02-19 18
2609,CP4,2022-02-19 20
2610,CP4,2022-02-19 22
2611,CP4,2022-02-20 01
2612,CP4,2022-02-20 03
2613,CP4,2022-02-20 05
2614,CP4,2022-02-20 10
2615,CP4,2022-02-21 01
2616,CP4,2022-02-21 03
2617,CP4,2022-02-21 05
2618,CP4,2022-02-21 07
2619,CP4,2022-02-21 09
2620,CP4,2022-02-21 12
2621,CP4,2022-02-21 14
2622,CP4,2022-02-21 16
2623,CP4,2022-02-21 19
2624,CP4,2022-02-21 22
2625,CP4,2022-02-22 00
2626,CP4,2022-02-22 02
2627,CP4,2022-02-22 04
2628,CP4,2022-02-22 06
2629,CP4,2022-02-22 09
2630,CP4,2022-02-22 11
2631,CP4,2022-02-22 13
2632,CP4,2022-02-22 15
2633,CP4,2022-02-22 17
2634,CP4,2022-02-22 20
2635,CP4,2022-02-22 22
2636,CP4,2022-02-23 00
2637,CP4,2022-02-23 02
2638,CP4,2022-02-23 04
2639,CP4,2022-02-23 06
2640,CP4,2022-02-23 08
2641,CP4,2022-02-23 11
2642,CP4,2022-02-23 13
2643,CP4,2022-02-23 15
2644,CP4,2022-02-23 17
2645,CP4,2022-02-23 19
2646,CP4,2022-02-23 21
2647,CP4,2022-02-23 23
2648,CP4,2022-02-24 02
2649,CP4,2022-02-24 04
2650,CP4,2022-02-24 06
2651,CP4,2022-02-24 08
2652,CP4,2022-02-24 10
2653,CP4,2022-02-24 17
2654,CP4,2022-02-24 19
2655,CP4,2022-02-24 21
2656,CP4,2022-02-25 01
2657,CP4,2022-02-25 04
